# source: Vasconcelos, Wright and Roe (2006) Fig. 5 -- raster image vasconcelos2006_p07_Im5.tiff extracted from the
#   publisher PDF at native resolution (see results/_p6/figures_native/).
# quantity: water velocity (m/s) at x = 9.9 m, SI.  time zero = the event.
# note: figure ordinate is cm/s; converted to m/s (x 0.01)
# x calibration (px -> s):   103.0 -> 0.0   876.5 -> 50.0  (axis box = axis limits)
# y calibration (px -> val): 131.0 -> 0.0   737.5 -> -6.0  (axis box = axis limits)
# open model markers removed by hole-filling; per-column longest ink run.
# digitized 2026-08-31 by scripts/digitize/vasconcelos_bilevel.py fig5_e3_v99
time_s,velocity_mps
16.2250,-0.01800
16.2896,-0.01974
16.3542,-0.03181
16.4189,-0.01899
16.4835,-0.03265
16.5482,-0.03265
16.6128,-0.03275
16.6774,-0.03279
16.7421,-0.02335
16.8067,-0.02335
16.8714,-0.02523
16.9360,-0.02528
17.0006,-0.02533
17.0653,-0.02854
17.1299,-0.02854
17.1946,-0.02869
17.2592,-0.02869
17.3239,-0.02869
17.3885,-0.03190
17.4531,-0.02943
17.5178,-0.02884
17.5824,-0.02928
17.6471,-0.02904
17.7117,-0.02904
17.7763,-0.02978
17.8410,-0.03561
17.9056,-0.03566
17.9703,-0.03092
18.0349,-0.03087
18.0995,-0.04066
18.1642,-0.03141
18.2288,-0.03181
18.2935,-0.03190
18.3581,-0.04091
18.4228,-0.04026
18.4874,-0.04036
18.5520,-0.04066
18.6167,-0.04071
18.6813,-0.04110
18.7460,-0.04125
18.8106,-0.04135
18.8752,-0.03299
18.9399,-0.03289
19.0045,-0.04170
19.0692,-0.04170
19.1338,-0.04165
19.1984,-0.03151
19.2631,-0.03151
19.3277,-0.03116
19.3924,-0.03106
19.4570,-0.03072
19.5217,-0.02933
19.5863,-0.02918
19.6509,-0.02918
19.7156,-0.02973
19.7802,-0.02983
19.8449,-0.03017
19.9095,-0.03007
19.9741,-0.02889
20.0388,-0.02859
20.1034,-0.04041
20.1681,-0.04036
20.2327,-0.04031
20.2973,-0.02696
20.3620,-0.02696
20.4266,-0.02676
20.4913,-0.02602
20.5559,-0.02498
20.6206,-0.02488
20.6852,-0.03779
20.7498,-0.03725
20.8145,-0.03705
20.8791,-0.03665
20.9438,-0.03660
21.0084,-0.02354
21.0730,-0.02364
21.1377,-0.02295
21.2023,-0.02285
21.2670,-0.02275
21.3316,-0.02077
21.3963,-0.02073
21.4609,-0.02068
21.5255,-0.02073
21.5902,-0.02073
21.6548,-0.01998
21.7195,-0.01924
21.7841,-0.01904
21.8487,-0.01810
21.9134,-0.01756
21.9780,-0.01741
22.0427,-0.01563
22.1073,-0.01563
22.1719,-0.01479
22.2366,-0.01469
22.3012,-0.01469
22.3659,-0.01380
22.4305,-0.01350
22.4952,-0.01331
22.5598,-0.01207
22.6244,-0.01192
22.6891,-0.01128
22.7537,-0.01083
22.8184,-0.01073
22.8830,-0.01924
22.9476,-0.00979
23.0123,-0.00969
23.0769,-0.01830
23.1416,-0.00752
23.2062,-0.00752
23.2708,-0.00752
23.3355,-0.00697
23.4001,-0.01494
23.4648,-0.01573
23.5294,-0.00564
23.5941,-0.01256
23.6587,-0.01395
23.7233,-0.00485
23.8526,-0.01044
23.9173,-0.01014
23.9819,-0.00979
24.0465,-0.00307
24.1112,-0.00302
24.1758,-0.00282
24.2405,-0.00277
24.3051,-0.00272
24.3697,-0.00262
24.4344,-0.00257
24.4990,-0.00252
24.5637,-0.00247
24.6283,-0.00242
24.6930,-0.00232
24.7576,-0.00228
24.8222,-0.00322
24.8869,-0.00312
24.9515,-0.00307
25.0162,-0.00287
25.0808,-0.00138
25.1454,-0.00134
25.2101,-0.00134
25.2747,-0.00134
25.3394,-0.00465
25.4040,-0.00465
25.4686,-0.00129
25.5333,-0.00465
25.5979,-0.00465
25.6626,-0.00129
25.7272,-0.00129
25.7919,-0.00134
25.8565,-0.00134
25.9211,-0.00158
25.9858,-0.00163
26.0504,-0.00168
26.1151,-0.00737
26.1797,-0.00737
26.2443,-0.00727
26.3090,-0.00722
26.3736,-0.00717
26.4383,-0.00203
26.5029,-0.00208
26.5676,-0.00237
26.6322,-0.00242
26.6968,-0.00257
26.7615,-0.00317
26.8261,-0.00322
26.8908,-0.00341
26.9554,-0.00406
27.0200,-0.00415
27.0847,-0.00435
27.1493,-0.00519
27.2140,-0.00534
27.2786,-0.00633
27.3432,-0.00658
27.4079,-0.00692
27.4725,-0.00732
27.5372,-0.00752
27.6018,-0.00757
27.6665,-0.01776
27.7311,-0.00890
27.7957,-0.00876
27.8604,-0.00876
27.9250,-0.01004
27.9897,-0.01029
28.1189,-0.01118
28.1836,-0.01128
28.2482,-0.01345
28.3129,-0.01459
28.3775,-0.01464
28.4421,-0.01454
28.5068,-0.01558
28.5714,-0.01563
28.6361,-0.01568
28.7007,-0.01726
28.7654,-0.01736
28.8300,-0.01751
28.8946,-0.01949
28.9593,-0.01949
29.0239,-0.01919
29.0886,-0.01919
29.1532,-0.02028
29.2178,-0.02132
29.2825,-0.02127
29.3471,-0.02117
29.4118,-0.02117
29.4764,-0.02122
29.5410,-0.02147
29.6057,-0.02147
29.6703,-0.02374
29.7350,-0.02280
29.7996,-0.02280
29.8643,-0.02290
29.9289,-0.02325
29.9935,-0.02468
30.0582,-0.02483
30.1228,-0.02528
30.1875,-0.02587
30.2521,-0.02582
30.3167,-0.02538
30.3814,-0.02528
30.4460,-0.02538
30.5107,-0.02582
30.5753,-0.02627
30.6399,-0.02671
30.7046,-0.02681
30.7692,-0.03997
30.8339,-0.04002
30.8985,-0.04007
30.9632,-0.02547
31.0278,-0.02547
31.0924,-0.02552
31.1571,-0.02478
31.2217,-0.02473
31.2864,-0.04031
31.3510,-0.04046
31.4156,-0.04071
31.4803,-0.02686
31.5449,-0.04081
31.6096,-0.04091
31.6742,-0.04086
31.7388,-0.04096
31.8035,-0.04091
31.8681,-0.04086
31.9328,-0.02904
31.9974,-0.02904
32.0621,-0.02904
32.1267,-0.02899
32.1913,-0.02735
32.2560,-0.02661
32.3206,-0.02320
32.3853,-0.02300
32.4499,-0.02305
32.5145,-0.02335
32.5792,-0.02330
32.6438,-0.02310
32.7085,-0.02275
32.7731,-0.03937
32.8378,-0.03937
32.9024,-0.02261
32.9670,-0.02290
33.0317,-0.02295
33.0963,-0.02280
33.1610,-0.02275
33.2256,-0.02236
33.2902,-0.02112
33.3549,-0.02107
33.4195,-0.02102
33.4842,-0.02063
33.5488,-0.02008
33.6134,-0.01949
33.6781,-0.01929
33.7427,-0.01919
33.8074,-0.01835
33.8720,-0.01805
33.9367,-0.01746
34.0013,-0.01647
34.0659,-0.03279
34.1306,-0.01697
34.1952,-0.01697
34.2599,-0.01697
34.3245,-0.01682
34.3891,-0.01667
34.4538,-0.01637
34.5184,-0.01420
34.5831,-0.01395
34.6477,-0.01266
34.7123,-0.01266
34.7770,-0.01242
34.8416,-0.01227
34.9063,-0.01232
34.9709,-0.01222
35.0356,-0.01207
35.1002,-0.01197
35.1648,-0.01063
35.2295,-0.01039
35.2941,-0.01039
35.3588,-0.00930
35.4234,-0.00935
35.4880,-0.00940
35.5527,-0.00861
35.6173,-0.00816
35.6820,-0.00811
35.7466,-0.00801
35.8112,-0.00722
35.8759,-0.00722
35.9405,-0.00594
36.0052,-0.00589
36.0698,-0.00589
36.1345,-0.00529
36.1991,-0.00534
36.2637,-0.00539
36.3284,-0.00559
36.3930,-0.00559
36.4577,-0.00554
36.5223,-0.00524
36.5869,-0.00514
36.6516,-0.00509
36.7162,-0.00500
36.7809,-0.00480
36.8455,-0.00475
36.9101,-0.00470
36.9748,-0.00450
37.0394,-0.00544
37.1041,-0.00500
37.1687,-0.00485
37.2334,-0.00440
37.2980,-0.00420
37.3626,-0.00376
37.4273,-0.00371
37.4919,-0.00356
37.5566,-0.00346
37.6212,-0.00326
37.6858,-0.00317
37.7505,-0.00307
37.8151,-0.00297
37.8798,-0.00307
37.9444,-0.00307
38.0090,-0.00307
38.0737,-0.00302
38.1383,-0.00307
38.2030,-0.00312
38.2676,-0.00336
38.3323,-0.00346
38.3969,-0.00351
38.4615,-0.00346
38.5262,-0.00326
38.5908,-0.00336
38.6555,-0.00341
38.7201,-0.00361
38.7847,-0.00346
38.8494,-0.00351
38.9140,-0.00361
38.9787,-0.00366
39.0433,-0.00371
39.1080,-0.00391
39.1726,-0.00401
39.2372,-0.00406
39.3019,-0.00831
39.3665,-0.00836
39.4312,-0.00846
39.4958,-0.00851
39.5604,-0.00856
39.6251,-0.00861
39.6897,-0.00880
39.7544,-0.00885
39.8190,-0.00841
39.8836,-0.00861
39.9483,-0.00866
40.0129,-0.00871
40.0776,-0.00871
40.1422,-0.00880
40.2069,-0.00890
40.2715,-0.00900
40.3361,-0.00900
40.4008,-0.00895
40.4654,-0.00737
40.5301,-0.00732
40.5947,-0.00707
40.6593,-0.01034
40.7240,-0.01316
40.7886,-0.01237
40.8533,-0.01336
40.9179,-0.01350
40.9825,-0.01350
41.0472,-0.01340
41.1118,-0.01340
41.1765,-0.01355
41.2411,-0.01449
41.3058,-0.01449
41.3704,-0.01464
41.4350,-0.01469
41.4997,-0.01474
41.5643,-0.01538
41.6290,-0.01622
41.6936,-0.01627
41.7582,-0.01746
41.8229,-0.01716
41.8875,-0.01736
41.9522,-0.01914
42.0168,-0.01969
42.0814,-0.01969
42.1461,-0.01969
42.2107,-0.01707
42.2754,-0.01702
42.3400,-0.01702
42.4047,-0.01984
42.4693,-0.01924
42.5339,-0.01929
42.5986,-0.01914
42.6632,-0.01894
42.7279,-0.01771
42.7925,-0.01771
42.8571,-0.01687
42.9218,-0.02132
42.9864,-0.02127
43.0511,-0.01909
43.1157,-0.01988
43.1803,-0.01998
43.2450,-0.02008
43.3096,-0.02018
43.3743,-0.02077
43.4389,-0.02082
43.5036,-0.02082
43.5682,-0.02073
43.6328,-0.02073
43.6975,-0.02107
43.7621,-0.02117
43.8268,-0.02117
43.8914,-0.02127
43.9560,-0.02092
44.0207,-0.02092
44.0853,-0.02077
44.1500,-0.02048
44.2146,-0.02048
44.2793,-0.02048
44.3439,-0.02092
44.4085,-0.02097
44.4732,-0.02429
44.5378,-0.02434
44.6025,-0.02419
44.6671,-0.02419
44.7317,-0.02181
44.7964,-0.02181
44.8610,-0.02216
44.9257,-0.02226
44.9903,-0.02226
45.0549,-0.02221
45.1196,-0.02216
45.1842,-0.02231
45.2489,-0.02280
45.3135,-0.02305
45.3782,-0.02389
45.4428,-0.02389
45.5074,-0.02369
45.5721,-0.02379
45.6367,-0.02384
45.7014,-0.02350
45.7660,-0.02330
45.8306,-0.02320
45.8953,-0.02315
45.9599,-0.02325
46.0246,-0.02359
46.0892,-0.02364
46.1538,-0.02458
46.2185,-0.02483
46.2831,-0.02513
46.3478,-0.02567
46.4124,-0.02582
46.4771,-0.02597
46.5417,-0.02597
46.6063,-0.02592
46.6710,-0.02592
46.7356,-0.02597
46.8003,-0.02547
46.8649,-0.02552
46.9295,-0.02552
46.9942,-0.02656
47.0588,-0.02849
47.1235,-0.02839
47.1881,-0.02735
47.2527,-0.02740
47.3174,-0.02745
47.3820,-0.02607
47.4467,-0.02597
47.5113,-0.02542
47.5760,-0.02542
47.6406,-0.02641
47.7052,-0.02770
47.7699,-0.02775
47.8345,-0.02671
47.8992,-0.02651
47.9638,-0.02636
48.0284,-0.02631
48.0931,-0.02636
48.1577,-0.02646
48.2224,-0.02676
48.2870,-0.02676
48.3516,-0.02701
48.4163,-0.02686
48.4809,-0.02533
48.5456,-0.02587
48.6102,-0.02587
48.6749,-0.02953
48.7395,-0.03022
48.8041,-0.03047
48.8688,-0.03062
48.9334,-0.03062
48.9981,-0.03067
49.0627,-0.03067
49.1273,-0.03067
49.1920,-0.03096
49.2566,-0.03096
49.3213,-0.03087
49.3859,-0.03052
49.4505,-0.03032
49.5152,-0.03002
49.5798,-0.03002
49.6445,-0.03181
49.7091,-0.03185
